User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
991,502,372,0,0,1360,151,1511,854,444,1298
2328,502,42,0,0,149,1663,1812,39,45,84
232,501,123,0,1,2242,112,2354,381,163,544
264,501,146,1,0,2051,101,2152,436,260,696
3729,501,277,1,2,324,1479,1803,170,596,766
265,500,70,0,1,2296,4,2300,121,9,130
419,500,31,0,0,160,1040,1200,29,6,35
1107,500,266,1,2,110,1624,1734,121,495,616
2509,499,46,1,2,8,1324,1332,17,45,62
3662,499,53,1,2,292,1215,1507,89,1,90
320,497,146,0,0,2570,673,3243,1203,1165,2368
1024,497,221,1,2,108,1407,1515,137,433,570
1332,495,230,1,2,511,1047,1558,283,448,731
1398,495,226,1,2,16,1673,1689,22,357,379
965,494,256,1,2,1237,926,2163,684,116,800
1472,494,237,1,0,243,1394,1637,149,494,643
4035,494,164,1,2,332,872,1204,203,38,241
516,493,190,0,1,1007,2,1009,407,34,441
731,493,248,1,2,611,866,1477,370,190,560
2009,493,290,1,2,332,1007,1339,361,495,856
3727,492,183,1,2,92,1518,1610,26,244,270
1788,491,26,0,0,87,1604,1691,69,71,140
423,490,81,0,0,2667,1508,4175,243,162,405
1317,490,208,1,0,111,1618,1729,85,403,488
3007,490,160,0,0,10,1961,1971,8,267,275
223,488,86,1,0,325,1701,2026,103,72,175
1282,488,265,1,2,275,974,1249,187,532,719
815,487,134,0,0,427,681,1108,169,166,335
1828,487,407,1,2,556,587,1143,695,775,1470
2515,487,114,0,1,2057,429,2486,933,813,1746
473,486,288,1,0,333,723,1056,195,389,584
1385,486,220,0,0,655,553,1208,353,48,401
550,485,148,0,1,1671,87,1758,1010,754,1764
755,484,323,0,0,1753,338,2091,1571,867,2438
1129,484,7,1,2,4,2026,2030,5,6,11
969,483,93,1,2,50,1759,1809,57,121,178
1355,483,336,1,2,245,1022,1267,290,697,987
1459,483,86,0,0,496,1282,1778,81,105,186
1731,482,225,0,0,547,603,1150,262,429,691
190,480,254,1,2,1539,611,2150,1229,205,1434
239,480,242,1,2,211,966,1177,87,365,452
1032,480,266,1,2,1046,1077,2123,510,312,822
2933,480,216,1,0,52,1313,1365,186,247,433
3648,480,7,1,0,9,1881,1890,3,8,11
178,479,313,1,2,606,1032,1638,245,703,948
1071,479,223,1,2,284,703,987,158,270,428
1072,479,239,1,2,951,279,1230,654,283,937
1526,479,161,1,2,52,1252,1304,28,227,255
2803,479,90,0,0,6,1487,1493,19,128,147
3958,479,111,1,2,78,1663,1741,71,180,251
256,478,373,1,2,413,597,1010,262,798,1060
452,478,128,0,0,1481,1223,2704,342,303,645
1300,478,246,1,2,371,846,1217,222,259,481
1419,477,78,1,2,231,1302,1533,97,18,115
2624,477,232,0,0,825,900,1725,528,381,909
3590,477,116,1,2,416,1470,1886,278,18,296
63,476,102,0,0,1620,452,2072,186,134,320
527,476,314,0,0,593,1127,1720,304,758,1062
1683,476,78,0,0,2121,56,2177,215,75,290
2142,476,114,1,2,98,1322,1420,42,181,223
2153,476,32,1,2,101,1965,2066,3,49,52
155,475,176,0,0,1386,193,1579,428,380,808
325,475,104,1,2,669,1540,2209,122,114,236
937,475,81,1,2,97,992,1089,78,43,121
2921,475,114,1,0,84,1212,1296,37,170,207
3738,475,175,0,0,147,1264,1411,186,332,518
3951,475,28,1,2,65,1444,1509,34,0,34
893,474,92,0,0,453,645,1098,132,140,272
953,474,308,1,0,292,1109,1401,203,621,824
2183,474,247,1,2,921,237,1158,522,329,851
2694,474,242,1,0,108,813,921,299,183,482
