User,Retweet Degree,Reply Degree,Retweet Community,Reply Community
1691,342,10,1,2
1885,342,293,1,0
2403,342,77,0,0
3286,342,84,0,0
3507,342,91,0,0
3725,342,100,0,0
3797,342,168,1,1
1262,341,93,1,2
1369,341,190,0,0
3632,341,67,0,0
3723,341,251,1,2
3866,341,255,1,0
102,340,86,1,0
813,340,251,0,0
2826,340,263,1,2
3316,340,205,1,2
3938,340,166,1,2
582,339,340,0,0
1479,339,90,0,1
1531,339,159,1,0
2133,339,367,1,0
503,338,160,0,1
622,338,73,0,0
1439,338,97,0,0
1595,337,51,0,0
2356,337,75,1,2
3424,337,135,0,0
23,336,336,1,0
657,336,180,1,2
748,336,199,1,0
1101,336,240,1,0
2156,336,168,0,1
2117,335,32,0,1
3700,335,81,0,0
334,334,183,1,2
3240,334,185,0,2
3621,334,212,0,0
1658,333,76,0,0
2530,333,58,0,0
2543,333,5,1,2
2956,333,32,0,0
259,332,357,2,1
2223,332,112,0,0
2884,332,166,0,0
59,331,253,1,0
278,331,120,0,0
2331,331,95,0,0
148,330,84,0,1
192,330,347,1,2
2112,330,89,1,2
2723,330,145,1,2
3145,330,83,1,1
400,329,267,1,2
1092,329,285,1,2
1230,329,65,0,0
2680,329,286,1,2
2804,329,257,1,0
3134,329,37,0,0
3254,329,25,0,0
3451,328,64,1,2
349,327,36,0,0
3099,327,155,0,0
3213,326,83,0,0
884,325,383,1,0
1820,325,64,0,0
796,324,88,0,0
1135,324,207,1,2
352,323,38,0,0
636,323,262,1,2
1444,323,50,0,0
1497,323,25,0,0
1538,323,284,1,0
409,322,57,0,0
792,322,436,1,2
3803,322,198,1,0
1041,321,174,1,2
1723,321,214,1,2
1858,321,211,2,1
1863,321,157,0,0
633,320,32,0,1
639,320,107,1,0
2534,320,55,0,1
2840,320,327,1,0
570,319,185,0,0
2565,319,190,1,2
685,318,63,0,0
1045,318,211,0,1
2311,318,196,0,0
2316,318,25,0,0
3560,318,44,0,0
1467,317,42,1,2
3079,317,139,1,0
3378,317,127,0,0
509,316,86,0,1
1873,316,197,1,0
3498,316,81,0,0
150,315,205,0,0
397,315,87,0,0
541,315,158,0,0
2930,315,114,0,1
3160,315,115,1,1
85,314,59,0,0
1850,314,11,0,0
146,313,16,0,0
2409,313,39,0,1
3089,313,138,0,0
2125,312,130,0,1
2969,312,204,0,0
3411,312,78,0,0
1620,311,294,1,2
1738,311,12,0,0
2940,311,122,1,2
417,310,277,1,2
768,310,236,1,0
719,309,101,0,0
841,309,104,0,0
1150,309,54,0,0
832,308,490,1,2
3510,308,171,0,0
987,307,175,0,0
1171,307,126,0,0
2353,307,229,0,0
3883,306,288,1,0
42,305,137,0,0
186,305,284,1,0
198,305,195,1,0
396,305,123,0,0
924,305,249,1,2
1037,305,92,0,1
2364,305,104,0,0
70,304,456,2,1
1007,304,45,0,0
1292,304,224,0,0
1478,304,260,0,0
1666,304,146,0,0
1915,304,124,1,1
2028,304,108,0,1
776,303,146,0,0
1855,303,72,1,0
1947,303,370,1,2
469,302,60,0,1
482,302,108,0,1
525,302,133,0,0
1888,302,131,0,0
558,301,37,0,0
2549,301,143,0,0
3619,301,158,1,2
1488,300,105,0,0
1562,300,202,1,2
2174,300,255,1,2
2574,300,199,1,2
3429,300,289,1,2
166,298,126,0,0
1674,298,139,0,0
2013,298,76,0,0
3730,298,404,1,0
662,297,164,0,0
1842,297,103,1,2
3230,297,206,1,2
1334,296,269,1,2
1959,296,30,0,0
3533,296,18,0,0
3623,296,278,1,2
1451,295,77,0,0
1476,295,167,0,0
1642,295,251,1,0
1813,295,77,0,1
1866,295,230,0,0
2297,295,97,0,1
2772,295,200,0,1
3461,295,169,0,0
3778,295,94,1,0
403,293,133,1,2
572,293,210,1,2
1006,293,34,0,0
293,292,249,1,2
1473,292,109,0,0
1786,292,24,0,0
3516,292,107,0,0
72,291,109,0,0
994,291,308,1,2
2436,291,126,1,2
3084,291,274,1,2
1173,290,32,0,0
1222,290,156,0,0
1799,290,199,0,0
3423,290,173,0,0
80,289,132,0,0
2794,289,43,0,0
3060,289,56,0,0
874,288,121,1,2
1704,288,118,1,0
2121,288,28,0,0
26,287,88,0,0
859,287,19,0,1
1265,287,180,1,0
3255,287,30,0,0
1352,286,111,0,0
1435,286,142,1,2
704,285,171,0,1
1410,285,202,0,0
2363,285,92,1,0
522,284,431,1,2
872,284,137,0,0
1046,284,145,0,0
3522,284,22,0,0
585,283,99,0,0
1130,283,37,0,1
1933,283,233,1,2
3149,283,75,0,1
754,282,56,0,0
1058,282,43,0,0
1553,282,189,1,2
1659,282,181,0,0
1756,282,130,0,0
946,281,67,0,0
1089,281,122,0,0
1269,281,41,0,0
1646,281,376,1,2
1924,281,13,0,0
2196,281,42,0,1
2219,281,321,1,2
3336,281,99,0,0
3523,281,149,0,0
